QID ,URLNO ,PNO ,REL,EXPL,,,,
7,4,62,1,provides the time for the first cases of Ebola occurred,,,,
7,165,63,1,provides the time for the first cases of Ebola occurred,,,,
7,3,64,1,provides the time for the first cases of Ebola occurred,,,,
7,3,65,1,provides the time for the first cases of Ebola occurred,,,,
7,4,66,0,does not address when the first case of Ebola began,,,,
7,4,67,0,does not address when the first case of Ebola began,,,,
7,4,68,0,does not address when the first case of Ebola began,,,,
7,4,69,0,does not address when the first case of Ebola began,,,,
7,4,70,0,does not address when the first case of Ebola began,,,,
8,164,71,1,provides the time for the first cases of Ebola occurred,,,,
8,160,72,1,provides the time for the first cases of Ebola occurred,,,,
8,160,73,0,does not address when the first case of Ebola began,,,,
8,160,74,1,provides the time for the first cases of Ebola occurred,,,,
8,160,75,0,does not address when the first case of Ebola began,,,,
8,160,76,1,provides the time for the first cases of Ebola occurred,,,,
8,160,77,1,provides the time for the first cases of Ebola occurred,,,,
8,160,78,0,does not address when the first case of Ebola began,,,,
8,160,79,0,does not address when the first case of Ebola began,,,,
8,160,80,0,does not address when the first case of Ebola began,,,,
9,160,81,1,provides the time for the first cases of Ebola occurred,,,,
9,160,82,1,provides the time for the first cases of Ebola occurred,,,,
9,160,83,1,provides the time for the first cases of Ebola occurred,,,,
9,160,84,1,provides the time for the first cases of Ebola occurred,,,,
9,170,85,1,provides the time for the first cases of Ebola occurred,,,,
9,160,86,0,does not address when the first case of Ebola began,,,,
9,160,87,0,does not address when the first case of Ebola began,,,,
9,160,88,0,does not address when the first case of Ebola began,,,,
9,164,89,0,does not address when the first case of Ebola began,,,,
9,164,90,0,does not address when the first case of Ebola began,,,,
10,160,91,1,provides the time for the first cases of Ebola occurred,,,,
10,160,92,1,provides the time for the first cases of Ebola occurred,,,,
10,160,93,1,provides the time for the first cases of Ebola occurred,,,,
10,160,94,1,provides the time for the first cases of Ebola occurred,,,,
10,168,95,1,provides the time for the first cases of Ebola occurred,,,,
10,164,96,0,does not address when the first case of Ebola began,,,,
10,164,97,0,does not address when the first case of Ebola began,,,,
10,164,98,0,does not address when the first case of Ebola began,,,,
10,164,99,0,does not address when the first case of Ebola began,,,,
10,167,100,0,does not address when the first case of Ebola began,,,,
11,170,101,1,provides the time for the first cases of Ebola occurred,,,,
11,171,102,1,provides the time for the first cases of Ebola occurred,,,,
11,169,103,1,provides the time for the first cases of Ebola occurred,,,,
11,172,104,1,provides the time for the first cases of Ebola occurred,,,,
11,173,105,1,provides the time for the first cases of Ebola occurred,,,,
11,160,106,0,does not address when the first case of Ebola began,,,,
11,160,107,0,does not address when the first case of Ebola began,,,,
11,160,108,0,does not address when the first case of Ebola began,,,,
11,160,109,0,does not address when the first case of Ebola began,,,,
11,160,110,0,does not address when the first case of Ebola began,,,,
12,162,111,1,provides the time for the first cases of Ebola occurred,,,,
12,160,112,1,provides the time for the first cases of Ebola occurred,,,,
12,4,113,1,provides the time for the first cases of Ebola occurred,,,,
12,4,114,1,provides the time for the first cases of Ebola occurred,,,,
12,4,115,1,provides the time for the first cases of Ebola occurred,,,,
12,3,116,0,does not address when the first case of Ebola began,,,,
12,3,117,0,does not address when the first case of Ebola began,,,,
12,3,118,0,does not address when the first case of Ebola began,,,,
12,3,119,0,does not address when the first case of Ebola began,,,,
12,3,120,0,does not address when the first case of Ebola began,,,,
13,160,121,1,provides the time for the first cases of Ebola occurred,,,,
13,162,122,1,provides the time for the first cases of Ebola occurred,,,,
13,4,123,1,provides the time for the first cases of Ebola occurred,,,,
13,4,124,1,provides the time for the first cases of Ebola occurred,,,,
13,4,125,1,provides the time for the first cases of Ebola occurred,,,,
13,3,126,0,does not address when the first case of Ebola began,,,,
13,3,127,0,does not address when the first case of Ebola began,,,,
13,3,128,0,does not address when the first case of Ebola began,,,,
13,3,129,0,does not address when the first case of Ebola began,,,,
13,3,130,0,does not address when the first case of Ebola began,,,,
14,4,131,1,provides the time for the first cases of Ebola occurred,,,,
14,4,132,1,provides the time for the first cases of Ebola occurred,,,,
14,5,133,1,provides the time for the first cases of Ebola occurred,,,,
14,174,134,1,provides the time for the first cases of Ebola occurred,,,,
14,174,135,1,provides the time for the first cases of Ebola occurred,,,,
14,3,136,0,does not address when the first case of Ebola began,,,,
14,3,137,0,does not address when the first case of Ebola began,,,,
14,3,138,0,does not address when the first case of Ebola began,,,,
14,3,139,0,does not address when the first case of Ebola began,,,,
14,3,140,0,does not address when the first case of Ebola began,,,,
15,165,141,1,provides the time for the first cases of Ebola occurred,,,,
15,3,142,1,provides the time for the first cases of Ebola occurred,,,,
15,3,143,1,provides the time for the first cases of Ebola occurred,,,,
15,3,144,1,provides the time for the first cases of Ebola occurred,,,,
15,3,145,1,provides the time for the first cases of Ebola occurred,,,,
15,3,146,0,does not address when the first case of Ebola began,,,,
15,3,147,0,does not address when the first case of Ebola began,,,,
15,165,148,0,does not address when the first case of Ebola began,,,,
15,165,149,0,does not address when the first case of Ebola began,,,,
15,165,150,0,does not address when the first case of Ebola began,,,,
16,4,151,1,provides the time for the first cases of Ebola occurred,,,,
16,3,152,1,provides the time for the first cases of Ebola occurred,,,,
16,160,153,1,provides the time for the first cases of Ebola occurred,,,,
16,160,154,1,provides the time for the first cases of Ebola occurred,,,,
16,160,155,1,provides the time for the first cases of Ebola occurred,,,,
16,160,156,0,does not address when the first case of Ebola began,,,,
16,160,157,0,does not address when the first case of Ebola began,,,,
16,166,158,0,does not address when the first case of Ebola began,,,,
16,3,159,0,does not address when the first case of Ebola began,,,,
16,3,160,0,does not address when the first case of Ebola began,,,,
17,176,161,1,provides the time for the first cases of Ebola occurred,,,,
17,4,162,1,provides the time for the first cases of Ebola occurred,,,,
17,4,163,1,provides the time for the first cases of Ebola occurred,,,,
17,177,164,1,provides the time for the first cases of Ebola occurred,,,,
17,177,165,1,provides the time for the first cases of Ebola occurred,,,,
17,178,166,0,does not address when the first case of Ebola began,,,,
17,178,167,0,does not address when the first case of Ebola began,,,,
17,178,168,0,does not address when the first case of Ebola began,,,,
17,178,169,0,does not address when the first case of Ebola began,,,,
17,178,170,0,does not address when the first case of Ebola began,,,,
18,178,171,1,provides the time for the first cases of Ebola occurred,,,,
18,178,172,1,provides the time for the first cases of Ebola occurred,,,,
18,4,173,1,provides the time for the first cases of Ebola occurred,,,,
18,3,174,1,provides the time for the first cases of Ebola occurred,,,,
18,3,175,1,provides the time for the first cases of Ebola occurred,,,,
18,178,176,0,does not address when the first case of Ebola began,,,,
18,178,177,0,does not address when the first case of Ebola began,,,,
18,178,178,0,does not address when the first case of Ebola began,,,,
18,179,179,0,does not address when the first case of Ebola began,,,,
18,179,180,0,does not address when the first case of Ebola began,,,,
19,160,181,1,provides the time for the first cases of Ebola occurred,,,,
19,160,182,1,provides the time for the first cases of Ebola occurred,,,,
19,168,183,1,provides the time for the first cases of Ebola occurred,,,,
19,172,184,1,provides the time for the first cases of Ebola occurred,,,,
19,3,185,1,provides the time for the first cases of Ebola occurred,,,,
19,175,186,0,does not address when the first case of Ebola began,,,,
19,175,187,0,does not address when the first case of Ebola began,,,,
19,175,188,0,does not address when the first case of Ebola began,,,,
19,175,189,0,does not address when the first case of Ebola began,,,,
19,163,190,0,does not address when the first case of Ebola began,,,,
20,164,191,1,provides the time for the first cases of Ebola occurred,,,,
20,160,192,1,provides the time for the first cases of Ebola occurred,,,,
20,4,193,1,provides the time for the first cases of Ebola occurred,,,,
20,160,194,1,provides the time for the first cases of Ebola occurred,,,,
20,162,195,1,provides the time for the first cases of Ebola occurred,,,,
20,175,196,0,does not address when the first case of Ebola began,,,,
20,175,197,0,does not address when the first case of Ebola began,,,,
20,175,198,0,does not address when the first case of Ebola began,,,,
20,175,199,0,does not address when the first case of Ebola began,,,,
20,175,200,0,does not address when the first case of Ebola began,,,,
41,180,401,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
41,181,402,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
41,182,403,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
41,183,404,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
41,184,405,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
41,180,406,0,No symptoms are givein in this paragraph,,,,
41,180,407,0,No symptoms are givein in this paragraph,,,,
41,181,408,0,No symptoms are givein in this paragraph,,,,
41,181,409,0,No symptoms are givein in this paragraph,,,,
41,181,410,0,No symptoms are givein in this paragraph,,,,
42,4,411,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
42,110,412,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
42,110,413,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
42,103,414,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
42,103,415,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
42,103,416,0,No symptoms are givein in this paragraph,,,,
42,103,417,0,No symptoms are givein in this paragraph,,,,
42,103,418,0,No symptoms are givein in this paragraph,,,,
42,103,419,0,No symptoms are givein in this paragraph,,,,
42,103,420,0,No symptoms are givein in this paragraph,,,,
43,150,421,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
43,185,422,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
43,186,423,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
43,187,424,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
43,187,425,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
43,189,426,0,No symptoms are givein in this paragraph,,,,
43,189,427,0,No symptoms are givein in this paragraph,,,,
43,189,428,0,No symptoms are givein in this paragraph,,,,
43,189,429,0,No symptoms are givein in this paragraph,,,,
43,189,430,0,No symptoms are givein in this paragraph,,,,
44,188,431,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
44,18,432,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
44,18,433,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
44,18,434,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
44,192,435,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
44,131,436,0,No symptoms are givein in this paragraph,,,,
44,131,437,0,No symptoms are givein in this paragraph,,,,
44,131,438,0,No symptoms are givein in this paragraph,,,,
44,131,439,0,No symptoms are givein in this paragraph,,,,
44,131,440,0,No symptoms are givein in this paragraph,,,,
45,190,441,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
45,191,442,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
45,96,443,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
45,96,444,0,No symptoms are givein in this paragraph,,,,
45,96,445,0,No symptoms are givein in this paragraph,,,,
45,96,446,0,No symptoms are givein in this paragraph,,,,
45,193,447,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
45,193,448,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
45,193,449,0,No symptoms are givein in this paragraph,,,,
45,193,450,0,No symptoms are givein in this paragraph,,,,
46,180,451,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
46,181,452,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
46,182,453,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
46,183,454,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
46,184,455,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
46,180,456,0,No symptoms are givein in this paragraph,,,,
46,180,457,0,No symptoms are givein in this paragraph,,,,
46,180,458,0,No symptoms are givein in this paragraph,,,,
46,180,459,0,No symptoms are givein in this paragraph,,,,
46,180,460,0,No symptoms are givein in this paragraph,,,,
47,211,461,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
47,110,462,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
47,110,463,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
47,194,464,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
47,3,465,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
47,194,466,0,No symptoms are givein in this paragraph,,,,
47,194,467,0,No symptoms are givein in this paragraph,,,,
47,194,468,0,No symptoms are givein in this paragraph,,,,
47,194,469,0,No symptoms are givein in this paragraph,,,,
47,194,470,0,No symptoms are givein in this paragraph,,,,
48,150,471,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
48,185,472,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
48,186,473,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
48,187,474,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
48,187,475,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
48,195,476,0,No symptoms are givein in this paragraph,,,,
48,195,477,0,No symptoms are givein in this paragraph,,,,
48,195,478,0,No symptoms are givein in this paragraph,,,,
48,195,479,0,No symptoms are givein in this paragraph,,,,
48,195,480,0,No symptoms are givein in this paragraph,,,,
49,188,481,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
49,18,482,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
49,18,483,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
49,18,484,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
49,192,485,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
49,142,486,0,No symptoms are givein in this paragraph,,,,
49,142,487,0,No symptoms are givein in this paragraph,,,,
49,142,488,0,No symptoms are givein in this paragraph,,,,
49,142,489,0,No symptoms are givein in this paragraph,,,,
49,142,490,0,No symptoms are givein in this paragraph,,,,
50,191,491,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
50,190,492,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
50,96,493,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
50,96,494,0,No symptoms are givein in this paragraph,,,,
50,96,495,0,No symptoms are givein in this paragraph,,,,
50,96,496,0,No symptoms are givein in this paragraph,,,,
50,193,497,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
50,193,498,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
50,193,499,0,No symptoms are givein in this paragraph,,,,
50,193,500,0,No symptoms are givein in this paragraph,,,,
51,180,501,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
51,181,502,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
51,182,503,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
51,183,504,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
51,184,505,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
51,180,506,0,No symptoms are givein in this paragraph,,,,
51,180,507,0,No symptoms are givein in this paragraph,,,,
51,180,508,0,No symptoms are givein in this paragraph,,,,
51,180,509,0,No symptoms are givein in this paragraph,,,,
51,180,510,0,No symptoms are givein in this paragraph,,,,
52,4,511,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
52,110,512,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
52,110,513,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
52,103,514,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
52,103,515,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
52,4,516,0,No symptoms are givein in this paragraph,,,,
52,4,517,0,No symptoms are givein in this paragraph,,,,
52,4,518,0,No symptoms are givein in this paragraph,,,,
52,110,519,0,No symptoms are givein in this paragraph,,,,
52,110,520,0,No symptoms are givein in this paragraph,,,,
53,150,521,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
53,185,522,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
53,186,523,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
53,187,524,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
53,187,525,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
53,189,526,0,No symptoms are givein in this paragraph,,,,
53,189,527,0,No symptoms are givein in this paragraph,,,,
53,186,528,0,No symptoms are givein in this paragraph,,,,
53,186,529,0,No symptoms are givein in this paragraph,,,,
53,196,530,0,No symptoms are givein in this paragraph,,,,
54,188,531,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
54,18,532,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
54,18,533,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
54,18,534,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
54,192,535,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
54,142,536,0,No symptoms are givein in this paragraph,,,,
54,142,537,0,No symptoms are givein in this paragraph,,,,
54,142,538,0,No symptoms are givein in this paragraph,,,,
54,142,539,0,No symptoms are givein in this paragraph,,,,
54,142,540,0,No symptoms are givein in this paragraph,,,,
55,191,541,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
55,190,542,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
55,96,543,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
55,193,544,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
55,193,545,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
55,190,546,0,No symptoms are givein in this paragraph,,,,
55,190,547,0,No symptoms are givein in this paragraph,,,,
55,190,548,0,No symptoms are givein in this paragraph,,,,
55,190,549,0,No symptoms are givein in this paragraph,,,,
55,190,550,0,No symptoms are givein in this paragraph,,,,
56,180,551,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
56,181,552,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
56,182,553,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
56,183,554,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
56,184,555,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
56,181,556,0,No symptoms are givein in this paragraph,,,,
56,181,557,0,No symptoms are givein in this paragraph,,,,
56,181,558,0,No symptoms are givein in this paragraph,,,,
56,181,559,0,No symptoms are givein in this paragraph,,,,
56,181,560,0,No symptoms are givein in this paragraph,,,,
57,4,561,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
57,110,562,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
57,110,563,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
57,194,564,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
57,3,565,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
57,181,566,0,No symptoms are givein in this paragraph,,,,
57,181,567,0,No symptoms are givein in this paragraph,,,,
57,181,568,0,No symptoms are givein in this paragraph,,,,
57,181,569,0,No symptoms are givein in this paragraph,,,,
57,181,570,0,No symptoms are givein in this paragraph,,,,
58,150,571,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
58,185,572,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
58,186,573,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
58,187,574,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
58,187,575,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
58,27,576,0,No symptoms are givein in this paragraph,,,,
58,27,577,0,No symptoms are givein in this paragraph,,,,
58,27,578,0,No symptoms are givein in this paragraph,,,,
58,27,579,0,No symptoms are givein in this paragraph,,,,
58,27,580,0,No symptoms are givein in this paragraph,,,,
59,188,581,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
59,18,582,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
59,18,583,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
59,18,584,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
59,192,585,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
59,142,586,0,No symptoms are givein in this paragraph,,,,
59,142,587,0,No symptoms are givein in this paragraph,,,,
59,142,588,0,No symptoms are givein in this paragraph,,,,
59,142,589,0,No symptoms are givein in this paragraph,,,,
59,142,590,0,No symptoms are givein in this paragraph,,,,
60,131,591,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
60,131,592,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
60,96,593,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
60,193,594,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
60,193,595,1,shows first symptoms for Ebola, Malaria, Typhus or Cholera,,
60,191,596,0,No symptoms are givein in this paragraph,,,,
60,191,597,0,No symptoms are givein in this paragraph,,,,
60,191,598,0,No symptoms are givein in this paragraph,,,,
60,191,599,0,No symptoms are givein in this paragraph,,,,
60,191,600,0,No symptoms are givein in this paragraph,,,,
81,199,801,1,gives the information of which US patients were the first successfully treated for Ebola,,,,
81,200,802,1,gives the information of which US patients were the first successfully treated for Ebola,,,,
81,202,803,1,gives the information of which US patients were the first successfully treated for Ebola,,,,
81,203,804,1,gives the information of which US patients were the first successfully treated for Ebola,,,,
81,204,805,1,gives the information of which US patients were the first successfully treated for Ebola,,,,
81,197,806,0,No first patients information is mentioned,,,,
81,197,807,0,No first patients information is mentioned,,,,
81,205,808,0,No first patients information is mentioned,,,,
81,205,809,0,No first patients information is mentioned,,,,
81,205,810,0,No first patients information is mentioned,,,,
82,201,811,1,gives the information of which US patients were the first successfully treated for Ebola,,,,
82,200,812,1,gives the information of which US patients were the first successfully treated for Ebola,,,,
82,203,813,1,gives the information of which US patients were the first successfully treated for Ebola,,,,
82,204,814,1,gives the information of which US patients were the first successfully treated for Ebola,,,,
82,202,815,1,gives the information of which US patients were the first successfully treated for Ebola,,,,
82,198,816,0,No first patients information is mentioned,,,,
82,198,817,0,No first patients information is mentioned,,,,
82,198,818,0,No first patients information is mentioned,,,,
82,198,819,0,No first patients information is mentioned,,,,
82,198,820,0,No first patients information is mentioned,,,,
83,199,821,1,gives the information of which US patients were the first successfully treated for Ebola,,,,
83,206,822,1,gives the information of which US patients were the first successfully treated for Ebola,,,,
83,203,823,1,gives the information of which US patients were the first successfully treated for Ebola,,,,
83,203,824,1,gives the information of which US patients were the first successfully treated for Ebola,,,,
83,207,825,1,gives the information of which US patients were the first successfully treated for Ebola,,,,
83,205,826,0,No first patients information is mentioned,,,,
83,205,827,0,No first patients information is mentioned,,,,
83,205,828,0,No first patients information is mentioned,,,,
83,205,829,0,No first patients information is mentioned,,,,
83,205,830,0,No first patients information is mentioned,,,,
84,199,831,1,gives the information of which US patients were the first successfully treated for Ebola,,,,
84,200,832,1,gives the information of which US patients were the first successfully treated for Ebola,,,,
84,201,833,1,gives the information of which US patients were the first successfully treated for Ebola,,,,
84,202,834,1,gives the information of which US patients were the first successfully treated for Ebola,,,,
84,203,835,1,gives the information of which US patients were the first successfully treated for Ebola,,,,
84,205,836,0,No first patients information is mentioned,,,,
84,205,837,0,No first patients information is mentioned,,,,
84,205,838,0,No first patients information is mentioned,,,,
84,205,839,0,No first patients information is mentioned,,,,
84,205,840,0,No first patients information is mentioned,,,,
85,202,841,1,gives the information of which US patients were the first successfully treated for Ebola,,,,
85,203,842,1,gives the information of which US patients were the first successfully treated for Ebola,,,,
85,204,843,1,gives the information of which US patients were the first successfully treated for Ebola,,,,
85,206,844,1,gives the information of which US patients were the first successfully treated for Ebola,,,,
85,207,845,1,gives the information of which US patients were the first successfully treated for Ebola,,,,
85,101,846,0,No first patients information is mentioned,,,,
85,101,847,0,No first patients information is mentioned,,,,
85,101,848,0,No first patients information is mentioned,,,,
85,101,849,0,No first patients information is mentioned,,,,
85,101,850,0,No first patients information is mentioned,,,,
86,199,851,1,gives the information of which US patients were the first successfully treated for Ebola,,,,
86,200,852,1,gives the information of which US patients were the first successfully treated for Ebola,,,,
86,201,853,1,gives the information of which US patients were the first successfully treated for Ebola,,,,
86,206,854,1,gives the information of which US patients were the first successfully treated for Ebola,,,,
86,207,855,1,gives the information of which US patients were the first successfully treated for Ebola,,,,
86,101,856,0,No first patients information is mentioned,,,,
86,101,857,0,No first patients information is mentioned,,,,
86,101,858,0,No first patients information is mentioned,,,,
86,101,859,0,No first patients information is mentioned,,,,
86,101,860,0,No first patients information is mentioned,,,,
87,199,861,1,gives the information of which US patients were the first successfully treated for Ebola,,,,
87,200,862,1,gives the information of which US patients were the first successfully treated for Ebola,,,,
87,202,863,1,gives the information of which US patients were the first successfully treated for Ebola,,,,
