URLNO ,PNO,RFN,VAL
164,90,1,ebola
164,90,2,death
160,91,6,14-Mar
160,91,7,on(23 march 2014)
160,92,1,ebola
160,93,1,ebola
160,94,1,ebola
160,94,6,14-Aug
160,94,7,in(august 2014)
168,95,6,2014
168,95,7,in(2014)
164,96,1,ebola
164,96,6,2014
164,97,1,ebola
164,97,2,death
170,101,1,ebola
170,101,6,2014
170,101,7,on(6 october 2014)
170,101,8,ebola virus
171,102,1,ebola
171,102,3,PCR
171,102,6,2014
171,102,8,ebola virus
169,103,1,ebola
172,104,1,ebola
173,105,1,ebola
173,105,6,2014
160,106,1,ebola
160,109,1,ebola
160,109,1,aids
162,111,1,ebola
162,111,2,death
162,111,6,2014
162,111,8,ebola virus
160,112,6,14-Mar
160,112,7,on(23 march 2014)
4,113,1,ebola
4,113,6,14-Mar
4,113,6,1976
4,113,7,in(march 2014)
4,113,7,in(1976)
4,113,8,ebola virus
4,114,6,2002
4,114,6,1976
4,114,6,1975
4,114,6,1980
4,114,6,1979
4,114,7,in(1975 and 1980)
4,114,7,in(a 2002)
4,114,8,marburg virus
4,115,1,ebola
4,115,6,1976
4,115,6,2013
4,115,6,2014
4,115,8,ebola virus
3,117,2,death
3,117,2,infection
3,118,1,ebola
3,118,2,shock
3,118,2,liver damage
3,118,6,3 days after
3,118,7,in(3 days after)
3,118,8,ebola virus
3,119,2,fever
3,119,2,infection
3,119,3,TNF
3,120,2,infection
160,121,6,14-Mar
160,121,7,on(23 march 2014)
162,122,1,ebola
162,122,2,death
162,122,6,2014
162,122,8,ebola virus
4,123,1,ebola
4,123,6,14-Mar
4,123,6,1976
4,123,7,in(march 2014)
4,123,7,in(1976)
4,123,8,ebola virus
4,124,6,2002
4,124,6,1976
4,124,6,1975
4,124,6,1980
4,124,6,1979
4,124,7,in(1975 and 1980)
4,124,7,in(a 2002)
4,124,8,marburg virus
4,125,1,ebola
4,125,6,1976
4,125,6,2013
4,125,6,2014
4,125,8,ebola virus
3,126,1,ebola
3,126,2,death
3,126,2,pain
3,126,2,weakness
3,126,2,low blood pressure
3,126,2,joint pain
3,126,2,pressure
3,126,2,coma
3,126,2,liver inflammation
3,126,2,blood loss
3,126,6,14 days after
3,126,7,in(between 7 and 14 days after)
3,127,1,ebola
3,127,8,ebola virus
3,127,8,ebolavirus
3,128,8,ebolavirus
3,129,1,ebola
3,129,8,ebola virus
3,129,8,ebolavirus
3,130,1,ebola
3,130,2,open wounds
3,130,2,sick
3,130,2,infection
4,131,1,ebola
4,131,6,1976
4,131,7,in(1976)
4,131,8,ebola virus
4,132,1,ebola
4,132,6,14-Mar
4,132,6,1976
4,132,7,in(march 2014)
4,132,7,in(1976)
4,132,8,ebola virus
5,133,1,ebola
5,133,6,1976
5,133,7,in(1976)
174,134,1,ebola
174,134,6,1976
174,134,6,1972
174,134,7,in(1976)
174,134,7,in(1972)
174,135,1,ebola
174,135,6,1976
174,135,7,in(1976)
3,136,5,050 kg of personal protective equipment 
3,136,6,2122
3,137,1,ebola
3,138,1,ebola
3,138,4,there have been 17 cases of Ebola treated 
3,138,6,2014
3,139,1,ebola
3,139,2,infection
3,139,8,ebola virus
3,140,1,ebola
3,140,6,5 days later
3,140,8,ebola virus
165,141,1,ebola
165,141,6,1976
165,141,7,in(1976)
3,142,6,2002
3,142,6,1976
3,142,6,1975
3,142,6,1980
3,142,6,1979
3,142,7,in(1975 and 1980)
3,142,7,in(a 2002)
3,142,8,marburg virus
3,143,1,ebola
3,143,6,1976
3,143,6,2013
3,143,6,2014
3,143,8,ebola virus
3,144,1,ebola
3,144,6,5 days later
3,144,8,ebola virus
3,145,6,Nov-76
3,146,1,ebola
3,146,8,ebola virus
3,147,6,2012
3,147,7,in(2012)
165,148,1,ebola
165,148,1,ebola hemorrhagic fever
165,148,2,fever
165,148,2,infection
165,148,8,ebola virus
165,149,1,ebola
165,149,2,infection
165,149,8,ebola virus
165,149,8,ebolavirus
165,149,8,virus family Filoviridae
165,150,1,ebola
165,150,8,ebola virus
4,151,1,ebola
4,151,6,14-Mar
4,151,6,1976
4,151,7,in(march 2014)
4,151,7,in(1976)
4,151,8,ebola virus
3,152,1,ebola
3,152,6,5 days later
3,152,8,ebola virus
160,153,1,ebola
160,154,1,ebola
160,157,2,death
160,157,2,fever
160,157,2,vomiting
166,158,1,ebola
166,158,2,death
166,158,2,infection
3,159,6,2012
3,159,7,in(2012)
3,160,6,2005
176,161,1,ebola
176,161,6,1976
176,161,7,on(in 1976)
4,162,1,ebola
4,162,6,1976
4,162,7,in(1976)
4,162,8,ebola virus
4,163,1,ebola
4,163,6,14-Mar
4,163,6,1976
4,163,7,in(march 2014)
4,163,7,in(1976)
4,163,8,ebola virus
177,164,1,ebola
177,164,6,2001
177,164,6,2-Jul
177,164,8,ebola virus
177,165,6,8-Jan
177,165,6,7-Dec
178,167,1,ebola
178,167,6,2015
178,167,7,in(2015)
178,168,1,ebola
178,169,2,infection
178,169,6,this year
178,171,1,ebola
178,171,6,this week
178,172,1,ebola
178,172,6,A year ago
4,173,1,ebola
4,173,6,14-Mar
4,173,6,1976
4,173,7,in(march 2014)
4,173,7,in(1976)
4,173,8,ebola virus
3,174,1,ebola
3,174,6,1976
3,174,6,2013
3,174,6,2014
3,174,8,ebola virus
3,175,1,ebola
3,175,6,14-Mar
3,175,6,13-Dec
3,175,6,15-Apr
3,175,7,in(march 2014)
178,177,1,ebola
178,178,1,ebola
179,179,1,ebola
179,180,1,ebola
179,180,2,drugs
179,180,8,ebola virus
160,181,6,14-Mar
160,181,7,on(23 march 2014)
160,182,1,ebola
160,182,6,14-Aug
160,182,7,in(august 2014)
168,183,6,2014
168,183,7,in(2014)
172,184,1,ebola
3,185,6,2002
3,185,6,1976
3,185,6,1975
3,185,6,1980
3,185,6,1979
3,185,7,in(1975 and 1980)
3,185,7,in(a 2002)
3,185,8,marburg virus
175,186,1,ebola
175,186,6,2014
175,187,1,ebola
175,187,2,death
175,188,1,ebola
163,190,1,ebola
163,190,6,1976
163,190,7,in(1976)
164,191,1,ebola
164,191,6,2014
160,192,1,ebola
160,192,6,14-Mar
160,192,6,1976
160,192,7,in(march 2014)
160,192,7,since(its discovery in 1976)
4,193,1,ebola
4,193,6,14-Mar
4,193,6,1976
4,193,7,in(march 2014)
4,193,7,in(1976)
4,193,8,ebola virus
160,194,6,14-Mar
160,194,7,on(23 march 2014)
162,195,1,ebola
162,195,2,death
162,195,6,2014
162,195,8,ebola virus
175,196,6,1999
175,196,6,2013
175,196,7,in(2013)
175,197,1,ebola
175,197,2,fear
175,197,8,ebola virus
175,198,1,ebola
175,198,5,eyed in goggles
175,199,2,sick
175,200,1,ebola
175,200,1,cholera
175,200,1,malaria
175,200,2,panic
180,401,1,ebola
180,401,2,malaise
180,401,2,fever
180,401,2,diarrhea
180,401,2,vomiting
181,402,2,fever
182,403,1,ebola
182,403,1,cholera
182,403,1,malaria
182,403,2,confusion
182,403,2,fever
182,403,2,common symptoms
182,403,2,vomiting
183,404,1,ebola
183,404,1,ebola hemorrhagic fever
183,404,2,fever
183,404,2,pain
183,404,2,diarrhea
183,404,2,rash
183,404,2,vomiting
183,404,2,muscle pain
183,404,2,sore throat
183,404,6,three weeks after
183,404,8,ebola virus
183,404,8,ebolavirus
184,405,1,ebola
184,405,1,cholera
184,405,1,typhoid fever
184,405,1,meningitis
184,405,1,malaria
184,405,2,fever
184,405,2,typhoid fever
184,405,2,meningitis
184,405,2,rash
184,405,2,vomiting
184,405,2,blood clots
184,405,2,red rash
180,406,1,ebola
180,406,6,2014
180,407,1,ebola
181,408,1,ebola
181,408,4,Bill Gray MD claims he has technological remedy 
181,408,8,ebola virus
181,409,1,ebola
181,409,2,death
181,409,4,He said that sicker can however turn to the use of his online technology therapy 
181,410,1,ebola
181,410,2,sick
4,411,2,fever
4,411,2,pain
4,411,2,infection
4,411,2,vomiting
4,411,2,fatigue
4,411,2,rash
4,411,2,muscle pain
4,411,2,sore throat
4,411,2,headache
110,412,1,ebola
110,412,2,aches
110,412,2,fever
110,412,2,pain
110,412,2,diarrhea
110,412,2,vomiting
110,412,2,sick
110,412,2,stomach pain
110,412,2,cough
110,412,2,headache
110,412,6,nine days after
110,413,1,ebola
110,413,2,cough
110,413,2,infection
110,413,2,fever
110,413,2,vomiting
103,414,1,ebola
103,414,1,flu
103,414,2,fever
103,414,2,sore throat
103,414,2,infection
103,414,2,headache
103,415,1,ebola
103,415,1,flu
103,415,2,high fever
103,415,2,aches
103,415,2,fever
103,415,2,pain
103,415,2,muscle aches
103,415,2,weakness
103,415,2,infection
103,415,2,stomach pain
103,415,2,sore throat
103,415,2,headache
103,415,6,21 days after
103,416,2,drugs
103,420,2,bruising
103,420,2,diarrhea
103,420,2,rash
103,420,2,vomiting
150,421,1,flu
150,421,1,malaria
150,421,2,no symptoms
150,421,2,infection
150,421,2,flu-like symptoms
185,422,1,flu
185,422,1,malaria
185,422,2,chills
185,422,2,vomiting
185,422,2,fever
185,422,2,headache
186,423,1,flu
186,423,1,malaria
186,423,2,high fever
186,423,2,chills
186,423,2,flu-like symptoms
186,423,2,fever
186,423,6,1940s
186,423,7,in(the late 1940s)
187,424,1,malaria
187,424,2,irritability
187,424,2,sweating
187,424,2,fever
187,424,2,drowsiness
187,424,2,rapid breathing
187,424,2,poor appetite
187,424,2,chills
187,425,1,malaria
187,425,2,fever
189,426,1,malaria
189,426,2,fever
189,427,1,malaria
189,427,2,drugs
189,428,1,malaria
189,430,1,influenza
189,430,1,malaria
188,431,1,endemic typhus
188,431,2,high fever
188,431,2,malaise
188,431,2,death
188,431,2,pain
188,431,2,nausea
188,431,2,diarrhea
188,431,2,infection
188,431,2,vomiting
188,431,2,fever
188,431,2,rash
188,431,2,cough
188,431,2,headache
188,431,6,two weeks after
188,431,7,in(about one to two weeks after)
18,432,2,seizures
18,432,2,photophobia
18,432,2,fever
18,432,2,pain
18,432,2,hearing loss
18,432,2,abdominal pain
18,432,2,nausea
18,432,2,drowsiness
18,432,2,myalgia
18,432,2,joint pain
18,432,2,vomiting
18,432,2,gangrene
18,432,2,severe headache
18,432,2,malaise
18,432,2,rash
18,432,2,confusion
18,432,2,coma
18,432,2,delirium
18,432,2,cough
18,432,2,necrosis
18,432,2,headache
18,433,1,endemic typhus
18,433,2,backache
18,433,2,high fever
18,433,2,fever
18,433,2,pain
18,433,2,abdominal pain
18,433,2,nausea
18,433,2,respiratory failure
18,433,2,joint pain
18,433,2,vomiting
18,433,2,dry cough
18,433,2,rash
18,433,2,renal failure
18,433,2,ataxia
18,433,2,very high fever
18,433,2,cough
18,433,2,seizures
18,433,2,red rash
18,433,2,headache
18,433,6,12 days after
18,434,2,fever
18,434,2,pain
18,434,2,eschar
18,434,2,lymphadenopathy
18,434,2,myalgia
18,434,2,rash
18,434,2,vomiting
18,434,2,cough
18,434,2,maculopapular rash
18,434,2,headache
192,435,2,fever
192,435,6,two weeks after
131,436,1,typhus
131,438,1,plague
131,438,1,body lice
131,438,1,typhus
131,438,1,epidemic typhus
131,438,2,fever
131,439,1,epidemic typhus
131,439,2,infection
131,440,1,endemic typhus
131,440,2,infection
190,441,1,cholera
190,441,2,dehydration
191,442,1,cholera
191,442,2,no symptoms
191,442,2,dehydration
191,442,2,diarrhea
191,442,2,infection
191,442,2,vomiting
191,442,6,five days after
96,443,1,cholera
96,443,2,cramps
96,443,2,muscle cramps
96,443,2,diarrhea
96,443,2,sunken eyes
96,443,2,infection
96,443,2,vomiting
96,443,2,cold skin
96,443,2,dehydration
96,443,2,electrolyte imbalance
96,443,2,imbalance
96,443,6,five days after
96,443,6,This may
96,444,1,cholera
96,444,2,diarrhea
96,444,4,antibiotics 
96,445,1,cholera
96,445,2,death
96,445,6,1849
96,445,6,1854
96,445,6,2010
96,445,7,by(john snow between 1849)
96,446,1,cholera
96,446,2,dehydration
96,446,2,death
96,446,2,diarrhea
96,446,2,vomiting
96,446,2,severe diarrhea
96,446,6,five days after
193,447,1,cholera
193,447,2,cramps
193,447,2,death
193,447,2,shock
193,447,2,diarrhea
193,447,2,infection
193,447,2,vomiting
193,447,2,leg cramps
193,447,2,dehydration
193,448,2,infection
193,449,1,cholera
193,449,5,related spread has been eliminated by modern water and sewage treatment 
193,449,6,1800s
193,449,7,in(the 1800s)
193,450,1,cholera
180,451,1,ebola
180,451,2,malaise
180,451,2,fever
180,451,2,diarrhea
180,451,2,vomiting
181,452,2,fever
182,453,1,ebola
182,453,1,cholera
182,453,1,malaria
182,453,2,confusion
182,453,2,fever
182,453,2,common symptoms
182,453,2,vomiting
183,454,1,ebola
183,454,1,ebola hemorrhagic fever
183,454,2,fever
183,454,2,pain
183,454,2,diarrhea
183,454,2,rash
183,454,2,vomiting
183,454,2,muscle pain
183,454,2,sore throat
183,454,6,three weeks after
183,454,8,ebola virus
183,454,8,ebolavirus
184,455,1,ebola
184,455,1,cholera
184,455,1,typhoid fever
184,455,1,meningitis
184,455,1,malaria
184,455,2,fever
184,455,2,typhoid fever
184,455,2,meningitis
184,455,2,rash
184,455,2,vomiting
184,455,2,blood clots
184,455,2,red rash
180,456,1,ebola
180,456,6,2014
180,457,1,ebola
180,458,6,2019
180,458,7,on(in the country by 2019)
180,459,2,sick
180,460,6,last May
211,461,1,ebola
211,461,2,pain
211,461,2,ebola virus infection
211,461,2,diarrhea
211,461,2,infection
211,461,2,vomiting
211,461,2,stomach pain
211,461,2,muscle pain
211,461,8,ebola virus
110,462,1,ebola
110,462,2,aches
110,462,2,fever
110,462,2,pain
110,462,2,diarrhea
110,462,2,vomiting
110,462,2,sick
110,462,2,stomach pain
110,462,2,cough
110,462,2,headache
110,462,6,nine days after
110,463,1,ebola
110,463,2,death
110,463,2,collapse
110,463,2,diarrhea
110,463,2,pressure
110,463,2,vomit blood
110,463,2,bloody diarrhea
194,464,1,ebola
194,464,1,typhoid fever
194,464,1,flu
194,464,1,malaria
194,464,2,fever
194,464,2,typhoid fever
3,465,1,ebola
3,465,1,ebola hemorrhagic fever
3,465,2,death
3,465,2,pain
3,465,2,diarrhea
3,465,2,low blood pressure
3,465,2,rash
3,465,2,vomiting
3,465,2,pressure
3,465,2,fever
3,465,2,sore throat
3,465,6,sixteen days after
3,465,6,three weeks after
3,465,8,ebola virus
194,466,1,ebola
194,466,2,high fever
194,466,2,very high fever
194,466,2,fever
194,466,8,ebola virus
194,466,8,virus family Filoviridae
194,467,1,ebola
194,467,8,ebola virus
194,468,1,ebola
194,469,1,ebola
194,469,8,ebola virus
194,470,1,ebola
150,471,1,flu
150,471,1,malaria
150,471,2,infection
150,471,2,flu-like symptoms
185,472,1,flu
185,472,1,malaria
185,472,2,chills
185,472,2,vomiting
185,472,2,fever
185,472,2,headache
186,473,1,flu
186,473,1,malaria
186,473,2,high fever
186,473,2,chills
186,473,2,flu-like symptoms
186,473,2,fever
186,473,6,1940s
186,473,7,in(the late 1940s)
187,474,1,malaria
187,474,2,irritability
187,474,2,sweating
187,474,2,fever
187,474,2,drowsiness
187,474,2,rapid breathing
187,474,2,poor appetite
187,474,2,chills
187,475,1,malaria
187,475,2,fever
195,476,1,malaria
195,477,1,malaria
195,477,2,infection
195,477,6,1500
195,477,6,3000
195,477,7,at(altitudes above 1500)
195,478,1,malaria
195,479,1,malaria
195,480,1,malaria
195,480,2,infection
188,481,1,endemic typhus
188,481,2,high fever
188,481,2,malaise
188,481,2,death
188,481,2,pain
188,481,2,nausea
188,481,2,diarrhea
188,481,2,infection
188,481,2,vomiting
188,481,2,fever
188,481,2,rash
188,481,2,cough
188,481,2,headache
188,481,6,two weeks after
188,481,7,in(about one to two weeks after)
18,482,2,seizures
18,482,2,photophobia
18,482,2,fever
18,482,2,pain
18,482,2,hearing loss
18,482,2,abdominal pain
18,482,2,nausea
18,482,2,drowsiness
18,482,2,myalgia
18,482,2,joint pain
18,482,2,vomiting
18,482,2,gangrene
18,482,2,severe headache
18,482,2,malaise
18,482,2,rash
18,482,2,confusion
18,482,2,coma
18,482,2,delirium
18,482,2,cough
18,482,2,necrosis
18,482,2,headache
18,483,1,endemic typhus
18,483,2,backache
18,483,2,high fever
18,483,2,fever
18,483,2,pain
18,483,2,abdominal pain
18,483,2,nausea
18,483,2,respiratory failure
18,483,2,joint pain
18,483,2,vomiting
18,483,2,dry cough
18,483,2,rash
18,483,2,renal failure
18,483,2,ataxia
18,483,2,very high fever
18,483,2,cough
18,483,2,seizures
18,483,2,red rash
18,483,2,headache
18,483,6,12 days after
18,484,2,fever
18,484,2,pain
18,484,2,eschar
18,484,2,lymphadenopathy
18,484,2,myalgia
18,484,2,rash
18,484,2,vomiting
18,484,2,cough
18,484,2,maculopapular rash
18,484,2,headache
192,485,2,fever
192,485,6,two weeks after
142,486,1,typhus
142,486,6,1648
142,486,6,1618
142,487,1,typhus
142,487,6,1812
142,487,7,at(from moscow in 1812)
142,488,1,typhus
142,488,2,fever
142,488,6,1849
142,488,6,1816
142,488,6,1830s
142,488,6,1819
142,488,6,1846
142,488,7,in(in the late 1830s)
142,488,7,in(ireland between 1816)
142,489,1,typhus
142,489,1,typhoid fever
142,489,2,fever
142,489,2,typhoid fever
142,489,6,1843
142,489,6,1865
142,489,6,1837
142,489,6,1873
142,489,7,in(1843)
142,489,7,on(dc between 1865)
142,489,7,in(philadelphia in 1837)
142,490,1,typhus
142,490,2,fever
142,490,6,1848
142,490,6,1847
191,491,1,cholera
191,491,2,no symptoms
191,491,2,dehydration
191,491,2,diarrhea
191,491,2,infection
191,491,2,vomiting
191,491,6,five days after
190,492,1,cholera
190,492,2,dehydration
96,493,1,cholera
96,493,2,cramps
96,493,2,muscle cramps
96,493,2,diarrhea
96,493,2,sunken eyes
96,493,2,infection
96,493,2,vomiting
96,493,2,cold skin
96,493,2,dehydration
96,493,2,electrolyte imbalance
96,493,2,imbalance
96,493,6,five days after
96,493,6,This may
96,494,1,cholera
96,494,2,diarrhea
96,494,4,antibiotics 
96,495,1,cholera
96,495,2,death
96,495,6,1849
96,495,6,1854
96,495,6,2010
96,495,7,by(john snow between 1849)
96,496,1,cholera
96,496,2,dehydration
96,496,2,death
96,496,2,diarrhea
96,496,2,vomiting
96,496,2,severe diarrhea
96,496,6,five days after
193,497,1,cholera
193,497,2,cramps
193,497,2,death
193,497,2,shock
193,497,2,diarrhea
193,497,2,infection
193,497,2,vomiting
193,497,2,leg cramps
193,497,2,dehydration
193,498,2,infection
193,499,1,cholera
193,499,5,related spread has been eliminated by modern water and sewage treatment 
193,499,6,1800s
193,499,7,in(the 1800s)
193,500,1,cholera
180,501,1,ebola
180,501,2,malaise
180,501,2,fever
180,501,2,diarrhea
180,501,2,vomiting
181,502,2,fever
182,503,1,ebola
182,503,1,cholera
182,503,1,malaria
182,503,2,confusion
182,503,2,fever
182,503,2,common symptoms
182,503,2,vomiting
183,504,1,ebola
183,504,1,ebola hemorrhagic fever
183,504,2,fever
183,504,2,pain
183,504,2,diarrhea
183,504,2,rash
183,504,2,vomiting
183,504,2,muscle pain
183,504,2,sore throat
183,504,6,three weeks after
183,504,8,ebola virus
183,504,8,ebolavirus
184,505,1,ebola
184,505,1,cholera
184,505,1,typhoid fever
184,505,1,meningitis
184,505,1,malaria
184,505,2,fever
184,505,2,typhoid fever
184,505,2,meningitis
184,505,2,rash
184,505,2,vomiting
184,505,2,blood clots
184,505,2,red rash
180,509,6,this year
4,511,2,fever
4,511,2,pain
4,511,2,infection
4,511,2,vomiting
4,511,2,fatigue
4,511,2,rash
4,511,2,muscle pain
4,511,2,sore throat
4,511,2,headache
110,512,1,ebola
110,512,2,aches
110,512,2,fever
110,512,2,pain
110,512,2,diarrhea
110,512,2,vomiting
110,512,2,sick
110,512,2,stomach pain
110,512,2,cough
110,512,2,headache
110,512,6,nine days after
110,513,1,ebola
110,513,2,cough
110,513,2,infection
110,513,2,fever
110,513,2,vomiting
103,514,1,ebola
103,514,1,flu
103,514,2,fever
103,514,2,sore throat
103,514,2,infection
103,514,2,headache
103,515,1,ebola
103,515,1,flu
103,515,2,high fever
103,515,2,aches
103,515,2,fever
103,515,2,pain
103,515,2,muscle aches
103,515,2,weakness
103,515,2,infection
103,515,2,stomach pain
103,515,2,sore throat
103,515,2,headache
103,515,6,21 days after
4,516,1,ebola
4,516,8,ebola virus
4,517,1,ebola
4,518,2,infection
110,519,1,ebola
110,519,8,ebola virus
110,520,1,ebola
110,520,6,2015
150,521,1,flu
150,521,1,malaria
150,521,2,infection
150,521,2,flu-like symptoms
185,522,1,flu
185,522,1,malaria
185,522,2,chills
185,522,2,vomiting
185,522,2,fever
185,522,2,headache
186,523,1,flu
186,523,1,malaria
186,523,2,high fever
186,523,2,chills
186,523,2,flu-like symptoms
186,523,2,fever
186,523,6,1940s
186,523,7,in(the late 1940s)
187,524,1,malaria
187,524,2,irritability
187,524,2,sweating
187,524,2,fever
187,524,2,drowsiness
187,524,2,rapid breathing
187,524,2,poor appetite
187,524,2,chills
187,525,1,malaria
187,525,2,fever
189,526,1,malaria
189,526,2,thrombocytopenia
189,526,2,anemia
189,527,1,malaria
186,528,1,malaria
186,529,1,malaria
186,529,2,infection
196,530,1,malaria
188,531,2,high fever
188,531,2,malaise
188,531,2,death
188,531,2,pain
188,531,2,nausea
188,531,2,diarrhea
188,531,2,infection
188,531,2,vomiting
188,531,2,fever
188,531,2,rash
188,531,2,cough
188,531,2,headache
188,531,6,two weeks after
